from_ingredient,to_ingredient
PECTIN. CARAMEL SWIRL: BROWN SUGAR,"PECTIN, BROWN SUGAR"
PEPPERMINT BARK PIECES (SUGAR,PEPPERMINT CANDY PIECES
PEPPERMINT CANDY PIECES: (SUGAR,PEPPERMINT CANDY PIECES
PEPPERMINT EXTRACT,
PEPPERMINT OIL,PEPPERMENT OIL
PEPPERMINT OIL),PEPPERMENT OIL
PEPPERMINT TWISTS CANDY (SUGAR,"PEPPERMINT TWISTS CANDY, SUGAR"
PGPR,
PGPR (EMULSIFIER),PGPR
PINEAPPLE,
PISTACHIO PASTE,
PISTACHIOS,"PISTACHIOS, SOY"
PISTACHIOS AND SOY INGREDIENTS,"PISTACHIOS, SOY"
PLUM,
PLUM CONCENTRATE (FOR COLOR),PLUM CONCENTRATE
POLYDEXTROSE,
POTASSIUM SORBATE (PRESERVATIVE),POTASSIUM SORBATE
POTATO,
POTATO FLOUR,
POWDERED SUGAR,
POWDERED SUGAR (CANE SUGAR,POWDERED SUGAR
PROCESSED VANILLA BEANS,
PROPYLENE GLYCOL MONOESTERS,
PUMPKIN,
PUMPKIN JUICE CONCENTRATE,
PUMPKIN PUREE,
RAISINS,
RASPBERRIES,
RASPBERRY PUREE,
RASPBERRY PUREE CONCENTRATE,
RASPBERRY SWIRL,
REB A (STEVIA LEAF EXTRACT),
RED 40,ARTIFICIAL COLOR
RED 40 LAKE,ARTIFICIAL COLOR
RED CABBAGE JUICE (COLOR),RED CABBAGE JUICE
RED CABBAGE JUICE CONCENTRATE (FOR COLOR),RED CABBAGE JUICE CONCENTRATE
REDUCED IRON,
REESE'S MINI PIECES,
REESE'S PEANUT BUTTER CUP PIECES,
REESE'S PEANUT BUTTER CUPS,
REESE'S PEANUT BUTTER SAUCE,
REESE'S PEANUT BUTTER SWIRL,
RIBOFLAVIN,
RIBOFLAVIN (VITAMIN B2),RIBOFLAVIN
RICE FLOUR,
RICE STARCH,
ROASTED ALMONDS,
ROASTED ALMONDS (ALMONDS,ROASTED ALMONDS
ROASTED PEANUTS,
ROLLED OATS,
RUM,
SAFFLOWER,
SAFFLOWER OIL,
SALT,
SALT. DARK CHOCOLATE AND VEGETABLE OIL COATING: DARK CHOCOLATE (SUGAR,"SALT, DARK CHOCOLATE, VEGETABLE OIL"
SALT. ROASTED PISTACHIOS: PISTACHIOS,"SALT, PISTACHIOS"
SALT),"SALT, ORGANIC GLUCOSE SYRUP"
SALT). ORGANIC GLUCOSE SYRUP,"SALT, ORGANIC GLUCOSE SYRUP"
SEA SALT,
SEMI-SWEET CHOCOLATE CHUNKS,
SKIM MILK,
SKIM MILK POWDER,
SNICKERS PIECES*,
SODIUM ACID PYROPHOSPHATE,
SODIUM BICARBONATE,
SODIUM CASEINATE,
SODIUM CITRATE,
SOLUBLE CORN FIBER,
SORBITOL,
SOY LECITHIN,SOY LECITHIN
SOY LECITHIN (EMULSIFIER),SOY LECITHIN
SOY LECITHIN NATURAL FLAVOR,"SOY LECITHIN, NATURAL FLAVORS"
SOY LECITHIN.\nCONTAINS: MILK,"SOY LECITHIN, MILK"
SOY LECITHIN. CARAMEL SWIRL: SWEETENED CONDENSED MILK (MILK,"SOY LECITHIN, SWEETENED CONDENSED MILK"
SOY LECITHIN. MAY CONTAIN OTHER TREE NUTS,"SOY LECITHIN, TREE NUTS"
SOY LECITHIN. SALTED CARAMEL SWIRL: CORN SYRUP,"SOY LECITHIN, CORN SYRUP"
SOY LECITHIN),SOY LECITHIN
SOYBEAN,
SOYBEAN LECITHIN,SOY LECITHIN
SOYBEAN OIL,
SOYBEAN OIL. SALTED FUDGE SWIRL: POWDERED CANE SUGAR (CANE SUGAR,"SOYBEAN OIL, CANE SUGAR"
SPICE,
SPICES,SPICE
STRAWBERRIES,
STRAWBERRY PUREE,
STRAWBERRY SWIRL,
SUCRALOSE,
SUGAR,
SUGAR),SUGAR
SUNFLOWER LECITHIN,
SUNFLOWER OIL,
SWEETENED CONDENSED MILK,
SWEETENED CONDENSED MILK (CONDENSED MILK SUGAR),SWEETENED CONDENSED MILK
SWEETENED CONDENSED MILK (MILK,SWEETENED CONDENSED MILK
SWEETENED CONDENSED SKIM MILK (SKIM MILK,SWEETENED CONDENSED SKIM MILK
SWEETENED LEMON ZEST,
TAPIOCA FLOUR,
TAPIOCA STARCH,
TAPIOCA SYRUP,
TARA,
TARA GUM,
TBHQ (PRESERVATIVE),TBHQ
TBHQ (TO MAINTAIN FRESHNESS),TBHQ
TBHQ AND CITRIC ACID (TO MAINTAIN FRESHNESS),"TBHQ, CITRIC ACID"
THAIMIN MONONITRATE,THIAMIN MONONITRATE
THIAMIN MONONITRATE,
THIAMIN MONONITRATE (VITAMIN B1),THIAMIN MONONITRATE
THIAMINE MONONITRATE,THIAMIN MONONITRATE
THIAMINE MONONITRATE (VITAMIN B1),THIAMIN MONONITRATE
TOFFEE,
ULCE DE LECHE ICE CREAM: CREAM,CREAM
UNBLEACHED ENRICHED FLOUR,
UNBLEACHED ENRICHED WHEAT FLOUR,
UNBLEACHED UNENRICHED WHEAT FLOUR,
UNSWEETENED CHOCOLATE,
VANILLA,
VANILLA BEAN SEEDS,
VANILLA BEANS,
VANILLA EXTRACT,
VANILLA EXTRACT. CHOCOLATE CHUNKS WITH VEGETABLE OIL: BELGIAN CHOCOLATE (SUGAR,"VANILLA EXTRACT, CHOCHOLATE CHUNKS, VEGETABLE OIL, BELGIAN CHOCOLATE"
VANILLA EXTRACT. CHOCOLATY COATING: SUGAR,"VANILLA EXTRACT, CHOCOLATE, SUGAR"
VANILLA EXTRACT. DARK CHOCOLATE DRIZZLE WITH VEGETABLE OIL: DARK CHOCOLATE (SUGAR,"VANILLA EXTRACT,  DARK CHOCOLATE, VEGETABLE OIL, SUGAR"
VANILLA EXTRACT. MILK CHOCOLATE AND VEGETABLE OIL COATING: MILK CHOCOLATE (SUGAR,"VANILLA EXTRACT,  MILK CHOCOLATE, VEGETABLE OIL, SUGAR"
VANILLA EXTRACT),VANILLA EXTRACT
VANILLA ICE CREAM,
VANILLA ICE CREAM: CREAM,CREAM
VANILLA),VANILLA
VANILLIN,
VANILLIN (ARTIFICIAL FLAVOR),VANILLIN
VEGETABLE GUM (GUAR),
VEGETABLE GUM (TARA),
VEGETABLE GUMS,
VEGETABLE JUICE (FOR COLOR),
VEGETABLE JUICE CONCENTRATE COLOR.\nCONTAINS: MILK,"VEGETABLE JUICE CONCENTRATE, MILK"
VEGETABLE OIL,
VEGETABLE OIL (CANOLA,CANOLA OIL
VERMOUTH,
VITAMIN A PALMITATE,
WAFFLE CONE,
WAFFLE CONE PIECES,
WALNUTS,
WATER,
WATER),WATER
WEET CREAM ICE CREAM: CREAM,CREAM
WHEAT AND SOY,
WHEAT BRAN,
WHEAT FLOUR,
WHEAT GERM,
WHEY,
WHEY PROTEIN CONCENTRATE,
WHISKEY,
WHITE CHOCOLATE ICE CREAM,
WHITE CHOCOLATE ICE CREAM (CREAM,WHITE CHOCOLATE ICE CREAM
WHITE CHOCOLATE ICE CREAM: CREAM,WHITE CHOCOLATE ICE CREAM
WHOLE EGG,
WHOLE EGG AND EGG YOLK,"WHOLE EGG, EGG YOLK"
WHOLE EGGS,WHOLE EGG
WHOLE MILK POWDER,
WHOLE WHEAT GRAHAM FLOUR,WHOLE WHEAT GRAHAM FLOUR
WHOLE WHEAT/GRAHAM FLOUR,WHOLE WHEAT GRAHAM FLOUR
WINE,
XANTHAN GUM,
XANTHAN GUM),XANTHAM GUM
YEAST EXTRACT,
YELLOW 5,ARTIFICIAL COLOR
YELLOW 5 LAKE,ARTIFICIAL COLOR
YELLOW 6,ARTIFICIAL COLOR
YELLOW 6 LAKE,ARTIFICIAL COLOR
